"Literal",Code
"v",http://purl.org/linked-data/sdmx/2009/code#sex-V
"vrouw",http://purl.org/linked-data/sdmx/2009/code#sex-V
"vrouwen",http://purl.org/linked-data/sdmx/2009/code#sex-V
"vrouwelijk geslacht",http://purl.org/linked-data/sdmx/2009/code#sex-V
"vrouwelijk",http://purl.org/linked-data/sdmx/2009/code#sex-V
"m",http://purl.org/linked-data/sdmx/2009/code#sex-M
"man",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannen",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannelijk geslacht",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannelijk",http://purl.org/linked-data/sdmx/2009/code#sex-M
